,x,y,z,res
,1,2,3,14
,2,4,9,37
,3,6,27,96
,4,8,37,131
,5,10,49,172
,6,12,61,213
,7,14,73,254
,8,16,85,295
,9,18,97,336
,10,20,109,377
,11,22,121,418
,12,24,133,459
,13,26,145,500
,14,28,157,541
,15,30,169,582
,16,32,181,623
,17,34,193,664
,18,36,205,705
,19,38,217,746
,20,40,229,787
,21,42,241,828
,22,44,253,869
,23,46,265,910
,24,48,277,951
,25,50,289,992
,26,52,301,1033
,27,54,313,1074
,28,56,325,1115
,29,58,337,1156
,30,60,349,1197
,31,62,361,1238
,32,64,373,1279
,33,66,385,1320
,34,68,397,1361
,35,70,409,1402
,36,72,421,1443
,37,74,433,1484
,38,76,445,1525
,39,78,457,1566
,40,80,469,1607
,41,82,481,1648
,42,84,493,1689
,43,86,505,1730
,44,88,517,1771
,45,90,529,1812
,46,92,541,1853
,47,94,553,1894
,48,96,565,1935
,49,98,577,1976
,50,100,589,2017
,51,102,601,2058
,52,104,613,2099
,53,106,625,2140
,54,108,637,2181
,55,110,649,2222
,56,112,661,2263
,57,114,673,2304
,58,116,685,2345
,59,118,697,2386
,60,120,709,2427
,61,122,721,2468
,62,124,733,2509
,63,126,745,2550
,64,128,757,2591
,65,130,769,2632
,66,132,781,2673
,67,134,793,2714
,68,136,805,2755
,69,138,817,2796
,70,140,829,2837
,71,142,841,2878
,72,144,853,2919
,73,146,865,2960
,74,148,877,3001
,75,150,889,3042
,76,152,901,3083
,77,154,913,3124
,78,156,925,3165
,79,158,937,3206
,80,160,949,3247
,81,162,961,3288
,82,164,973,3329
,83,166,985,3370
,84,168,997,3411
,85,170,1009,3452
,86,172,1021,3493
,87,174,1033,3534
,88,176,1045,3575
,89,178,1057,3616
,90,180,1069,3657
,91,182,1081,3698
,92,184,1093,3739
,93,186,1105,3780
,94,188,1117,3821
,95,190,1129,3862
,96,192,1141,3903
,97,194,1153,3944
,98,196,1165,3985
,99,198,1177,4026
,100,200,1189,4067
,101,202,1201,4108
,102,204,1213,4149
,103,206,1225,4190
,104,208,1237,4231
,105,210,1249,4272
,106,212,1261,4313
,107,214,1273,4354
,108,216,1285,4395
,109,218,1297,4436
,110,220,1309,4477
,111,222,1321,4518
,112,224,1333,4559
,113,226,1345,4600
,114,228,1357,4641
,115,230,1369,4682
,116,232,1381,4723
,117,234,1393,4764
,118,236,1405,4805
,119,238,1417,4846
,120,240,1429,4887
,121,242,1441,4928
,122,244,1453,4969
,123,246,1465,5010
,124,248,1477,5051
,125,250,1489,5092
,126,252,1501,5133
,127,254,1513,5174
,128,256,1525,5215
,129,258,1537,5256
,130,260,1549,5297
,131,262,1561,5338
,132,264,1573,5379
,133,266,1585,5420
,134,268,1597,5461
,135,270,1609,5502
,136,272,1621,5543
,137,274,1633,5584
,138,276,1645,5625
,139,278,1657,5666
,140,280,1669,5707
,141,282,1681,5748
,142,284,1693,5789
,143,286,1705,5830
,144,288,1717,5871
,145,290,1729,5912
,146,292,1741,5953
,147,294,1753,5994
,148,296,1765,6035
,149,298,1777,6076
,150,300,1789,6117
,151,302,1801,6158
,152,304,1813,6199
,153,306,1825,6240
,154,308,1837,6281
,155,310,1849,6322
,156,312,1861,6363
,157,314,1873,6404
,158,316,1885,6445
,159,318,1897,6486
,160,320,1909,6527
,161,322,1921,6568
,162,324,1933,6609
,163,326,1945,6650
,164,328,1957,6691
,165,330,1969,6732
,166,332,1981,6773
,167,334,1993,6814
,168,336,2005,6855
,169,338,2017,6896
,170,340,2029,6937
,171,342,2041,6978
,172,344,2053,7019
,173,346,2065,7060
,174,348,2077,7101
,175,350,2089,7142
,176,352,2101,7183
,177,354,2113,7224
,178,356,2125,7265
,179,358,2137,7306
,180,360,2149,7347
,181,362,2161,7388
,182,364,2173,7429
,183,366,2185,7470
,184,368,2197,7511
,185,370,2209,7552
,186,372,2221,7593
,187,374,2233,7634
,188,376,2245,7675
,189,378,2257,7716
,190,380,2269,7757
,191,382,2281,7798
,192,384,2293,7839
,193,386,2305,7880
,194,388,2317,7921
,195,390,2329,7962
,196,392,2341,8003
,197,394,2353,8044
,198,396,2365,8085
,199,398,2377,8126
,200,400,2389,8167
,201,402,2401,8208
,202,404,2413,8249
,203,406,2425,8290
,204,408,2437,8331
,205,410,2449,8372
,206,412,2461,8413
,207,414,2473,8454
,208,416,2485,8495
,209,418,2497,8536
,210,420,2509,8577
,211,422,2521,8618
,212,424,2533,8659
,213,426,2545,8700
,214,428,2557,8741
,215,430,2569,8782
,216,432,2581,8823
,217,434,2593,8864
