x,y,z,res
1,2,3,2.449489743
2,4,9,6.02503361
3,6,27,12.74665137
4,8,37,17.22213866
5,10,49,22.15172612
6,12,61,27.06987535
7,14,73,31.98194957
8,16,85,36.89042003
9,18,97,41.79658171
10,20,109,46.70117772
11,22,121,51.60466445
12,24,133,56.50733741
13,26,145,61.40939621
14,28,157,66.31098045
15,30,169,71.21219061
16,32,181,76.11310084
17,34,193,81.01376703
18,36,205,85.91423207
19,38,217,90.81452942
20,40,229,95.71468555
21,42,241,100.6147217
22,44,253,105.514655
23,46,265,110.4144996
24,48,277,115.3142672
25,50,289,120.2139673
26,52,301,125.1136083
27,54,313,130.0131969
28,56,325,134.9127391
29,58,337,139.8122398
30,60,349,144.7117035
31,62,361,149.6111338
32,64,373,154.5105341
33,66,385,159.4099072
34,68,397,164.3092556
35,70,409,169.2085815
36,72,421,174.107887
37,74,433,179.0071736
38,76,445,183.906443
39,78,457,188.8056966
40,80,469,193.7049356
41,82,481,198.604161
42,84,493,203.503374
43,86,505,208.4025755
44,88,517,213.3017662
45,90,529,218.2009469
46,92,541,223.1001182
47,94,553,227.9992809
48,96,565,232.8984355
49,98,577,237.7975824
50,100,589,242.6967222
51,102,601,247.5958553
52,104,613,252.4949821
53,106,625,257.394103
54,108,637,262.2932184
55,110,649,267.1923284
56,112,661,272.0914335
57,114,673,276.9905339
58,116,685,281.8896299
59,118,697,286.7887216
60,120,709,291.6878094
61,122,721,296.5868934
62,124,733,301.4859738
63,126,745,306.3850508
64,128,757,311.2841245
65,130,769,316.1831952
66,132,781,321.0822629
67,134,793,325.9813278
68,136,805,330.88039
69,138,817,335.7794497
70,140,829,340.678507
71,142,841,345.5775619
72,144,853,350.4766145
73,146,865,355.3756651
74,148,877,360.2747136
75,150,889,365.1737601
76,152,901,370.0728047
77,154,913,374.9718476
78,156,925,379.8708887
79,158,937,384.7699282
80,160,949,389.668966
81,162,961,394.5680024
82,164,973,399.4670372
83,166,985,404.3660706
84,168,997,409.2651027
85,170,1009,414.1641334
86,172,1021,419.0631629
87,174,1033,423.9621911
88,176,1045,428.8612182
89,178,1057,433.7602441
90,180,1069,438.659269
91,182,1081,443.5582927
92,184,1093,448.4573155
93,186,1105,453.3563372
94,188,1117,458.255358
95,190,1129,463.1543779
96,192,1141,468.0533968
97,194,1153,472.9524149
98,196,1165,477.8514322
99,198,1177,482.7504486
100,200,1189,487.6494643
101,202,1201,492.5484792
102,204,1213,497.4474933
103,206,1225,502.3465067
104,208,1237,507.2455195
105,210,1249,512.1445315
106,212,1261,517.0435429
107,214,1273,521.9425537
108,216,1285,526.8415639
109,218,1297,531.7405734
110,220,1309,536.6395824
111,222,1321,541.5385908
112,224,1333,546.4375986
113,226,1345,551.336606
114,228,1357,556.2356128
115,230,1369,561.1346191
116,232,1381,566.0336248
117,234,1393,570.9326302
118,236,1405,575.831635
119,238,1417,580.7306394
120,240,1429,585.6296434
121,242,1441,590.5286469
122,244,1453,595.42765
123,246,1465,600.3266527
124,248,1477,605.225655
125,250,1489,610.1246569
126,252,1501,615.0236584
127,254,1513,619.9226595
128,256,1525,624.8216603
129,258,1537,629.7206608
130,260,1549,634.6196609
131,262,1561,639.5186606
132,264,1573,644.41766
133,266,1585,649.3166592
134,268,1597,654.2156579
135,270,1609,659.1146564
136,272,1621,664.0136546
137,274,1633,668.9126525
138,276,1645,673.8116502
139,278,1657,678.7106475
140,280,1669,683.6096446
141,282,1681,688.5086414
142,284,1693,693.4076379
143,286,1705,698.3066342
144,288,1717,703.2056302
145,290,1729,708.104626
146,292,1741,713.0036216
147,294,1753,717.9026169
148,296,1765,722.801612
149,298,1777,727.7006068
150,300,1789,732.5996015
151,302,1801,737.4985959
152,304,1813,742.3975901
153,306,1825,747.2965842
154,308,1837,752.195578
155,310,1849,757.0945716
156,312,1861,761.993565
157,314,1873,766.8925583
158,316,1885,771.7915513
159,318,1897,776.6905442
160,320,1909,781.5895369
161,322,1921,786.4885294
162,324,1933,791.3875217
163,326,1945,796.2865139
164,328,1957,801.1855059
165,330,1969,806.0844977
166,332,1981,810.9834894
167,334,1993,815.8824809
168,336,2005,820.7814723
169,338,2017,825.6804635
170,340,2029,830.5794546
171,342,2041,835.4784456
172,344,2053,840.3774364
173,346,2065,845.276427
174,348,2077,850.1754175
175,350,2089,855.0744079
176,352,2101,859.9733981
177,354,2113,864.8723883
178,356,2125,869.7713782
179,358,2137,874.6703681
180,360,2149,879.5693579
181,362,2161,884.4683475
182,364,2173,889.367337
183,366,2185,894.2663264
184,368,2197,899.1653156
185,370,2209,904.0643048
186,372,2221,908.9632938
187,374,2233,913.8622828
188,376,2245,918.7612716
189,378,2257,923.6602603
190,380,2269,928.5592489
191,382,2281,933.4582374
192,384,2293,938.3572258
193,386,2305,943.2562142
194,388,2317,948.1552024
195,390,2329,953.0541905
196,392,2341,957.9531785
197,394,2353,962.8521665
198,396,2365,967.7511543
199,398,2377,972.6501421
200,400,2389,977.5491297
201,402,2401,982.4481173
202,404,2413,987.3471048
203,406,2425,992.2460922
204,408,2437,997.1450795
205,410,2449,1002.044067
206,412,2461,1006.943054
207,414,2473,1011.842041
208,416,2485,1016.741028
209,418,2497,1021.640015
210,420,2509,1026.539002
211,422,2521,1031.437989
212,424,2533,1036.336975
213,426,2545,1041.235962
214,428,2557,1046.134948
215,430,2569,1051.033935
216,432,2581,1055.932921
217,434,2593,1060.831908
218,436,2605,1065.730894
219,438,2617,1070.62988
220,440,2629,1075.528866
221,442,2641,1080.427852
222,444,2653,1085.326838
223,446,2665,1090.225824
224,448,2677,1095.12481
225,450,2689,1100.023796
226,452,2701,1104.922782
227,454,2713,1109.821768
228,456,2725,1114.720753
229,458,2737,1119.619739
230,460,2749,1124.518724
231,462,2761,1129.41771
232,464,2773,1134.316695
233,466,2785,1139.215681
234,468,2797,1144.114666
235,470,2809,1149.013651
236,472,2821,1153.912637
237,474,2833,1158.811622
238,476,2845,1163.710607
239,478,2857,1168.609592
240,480,2869,1173.508577
241,482,2881,1178.407562
242,484,2893,1183.306547
243,486,2905,1188.205532
244,488,2917,1193.104517
245,490,2929,1198.003501
246,492,2941,1202.902486
247,494,2953,1207.801471
248,496,2965,1212.700455
249,498,2977,1217.59944
250,500,2989,1222.498425
251,502,3001,1227.397409
252,504,3013,1232.296393
253,506,3025,1237.195378
254,508,3037,1242.094362
255,510,3049,1246.993347
256,512,3061,1251.892331
257,514,3073,1256.791315
258,516,3085,1261.690299
259,518,3097,1266.589284
260,520,3109,1271.488268
261,522,3121,1276.387252
262,524,3133,1281.286236
263,526,3145,1286.18522
264,528,3157,1291.084204
265,530,3169,1295.983188
266,532,3181,1300.882172
267,534,3193,1305.781156
268,536,3205,1310.68014
269,538,3217,1315.579123
270,540,3229,1320.478107
271,542,3241,1325.377091
272,544,3253,1330.276075
273,546,3265,1335.175058
274,548,3277,1340.074042
275,550,3289,1344.973026
276,552,3301,1349.872009
277,554,3313,1354.770993
278,556,3325,1359.669976
279,558,3337,1364.56896
280,560,3349,1369.467943
281,562,3361,1374.366927
282,564,3373,1379.26591
283,566,3385,1384.164893
284,568,3397,1389.063877
